ano_inter,idade_grupo_who,utilizacao_uti,admissoes_nao_uti,admissoes
2011,20-24,10418,979083,989501
2011,25-29,11349,888383,899732
2011,30-34,12287,706328,718615
2011,35-39,13659,539649,553308
2011,40-44,17304,460475,477779
2011,45-49,23505,448729,472234
2011,50-54,29639,439339,468978
2011,55-59,35282,424553,459835
2011,60-64,38204,413749,451953
2011,65-69,36937,384291,421228
2011,70-74,35426,369052,404478
2011,75-79,29734,318762,348496
2011,80-84,21664,245391,267055
2011,85+,18102,233331,251433
2012,20-24,10688,939986,950674
2012,25-29,11295,853247,864542
2012,30-34,12825,703767,716592
2012,35-39,14173,534730,548903
2012,40-44,17354,448345,465699
2012,45-49,23615,442345,465960
2012,50-54,30410,432377,462787
2012,55-59,36397,423715,460112
2012,60-64,39440,413686,453126
2012,65-69,39160,383894,423054
2012,70-74,36643,358887,395530
2012,75-79,31080,309421,340501
2012,80-84,22961,239699,262660
2012,85+,19823,230464,250287
2013,20-24,10293,917665,927958
2013,25-29,11026,829413,840439
2013,30-34,12799,702710,715509
2013,35-39,13947,534226,548173
2013,40-44,17241,444015,461256
2013,45-49,23794,436900,460694
2013,50-54,30317,433653,463970
2013,55-59,37295,434784,472079
2013,60-64,40752,422923,463675
2013,65-69,40966,394342,435308
2013,70-74,38474,366144,404618
2013,75-79,33105,316259,349364
2013,80-84,24570,244287,268857
2013,85+,21809,242636,264445
2014,20-24,10721,927310,938031
2014,25-29,11408,843346,854754
2014,30-34,13003,712869,725872
2014,35-39,14509,554129,568638
2014,40-44,17621,448127,465748
2014,45-49,23890,437570,461460
2014,50-54,31268,440929,472197
2014,55-59,38743,439705,478448
2014,60-64,43265,432118,475383
2014,65-69,43115,399480,442595
2014,70-74,40178,367226,407404
2014,75-79,35778,322069,357847
2014,80-84,26031,242231,268262
2014,85+,24185,247630,271815
2015,20-24,10608,927554,938162
2015,25-29,11179,836219,847398
2015,30-34,12785,706986,719771
2015,35-39,14646,555892,570538
2015,40-44,17490,437703,455193
2015,45-49,23484,423914,447398
2015,50-54,31607,435650,467257
2015,55-59,39039,437500,476539
2015,60-64,44040,433593,477633
2015,65-69,44724,409710,454434
2015,70-74,40563,363993,404556
2015,75-79,37067,330200,367267
2015,80-84,26419,244414,270833
2015,85+,25187,260871,286058
2016,20-24,10354,907333,917687
2016,25-29,10897,799086,809983
2016,30-34,12796,689787,702583
2016,35-39,15275,553922,569197
2016,40-44,17502,432532,450034
2016,45-49,23825,413403,437228
2016,50-54,32023,432234,464257
2016,55-59,39486,436450,475936
2016,60-64,45319,438599,483918
2016,65-69,46302,414780,461082
2016,70-74,41569,361762,403331
2016,75-79,37128,320883,358011
2016,80-84,27001,243455,270456
2016,85+,25554,259163,284717
2017,20-24,10979,927812,938791
2017,25-29,11371,816465,827836
2017,30-34,13185,700940,714125
2017,35-39,15696,577210,592906
2017,40-44,17973,439436,457409
2017,45-49,23921,408239,432160
2017,50-54,32517,433346,465863
2017,55-59,40922,440896,481818
2017,60-64,47865,447737,495602
2017,65-69,48916,429261,478177
2017,70-74,44746,376111,420857
2017,75-79,38717,328953,367670
2017,80-84,29220,252908,282128
2017,85+,27297,276706,304003
2018,20-24,11007,939556,950563
2018,25-29,11659,833382,845041
2018,30-34,13198,729342,742540
2018,35-39,16267,611432,627699
2018,40-44,18815,463603,482418
2018,45-49,24548,423842,448390
2018,50-54,33636,447786,481422
2018,55-59,42595,457325,499920
2018,60-64,50281,467708,517989
2018,65-69,52006,443542,495548
2018,70-74,47502,389451,436953
2018,75-79,40943,334310,375253
2018,80-84,30017,255292,285309
2018,85+,28372,277566,305938
2019,20-24,12236,925790,938026
2019,25-29,12416,834584,847000
2019,30-34,14481,735414,749895
2019,35-39,17484,620524,638008
2019,40-44,20333,481939,502272
2019,45-49,25955,432045,458000
2019,50-54,35092,454799,489891
2019,55-59,44963,475541,520504
2019,60-64,54079,485541,539620
2019,65-69,56099,465018,521117
2019,70-74,51242,404149,455391
2019,75-79,44260,344388,388648
2019,80-84,32859,267552,300411
2019,85+,30709,289591,320300
2020,20-24,11987,837518,849505
2020,25-29,13098,758496,771594
2020,30-34,15797,642938,658735
2020,35-39,20351,530398,550749
2020,40-44,24647,409655,434302
2020,45-49,31158,356330,387488
2020,50-54,41419,377859,419278
2020,55-59,53379,402032,455411
2020,60-64,64051,409582,473633
2020,65-69,67696,392829,460525
2020,70-74,62871,346286,409157
2020,75-79,52183,283434,335617
2020,80-84,41413,228788,270201
2020,85+,38138,241220,279358
2021,20-24,13579,806280,819859
2021,25-29,17771,756072,773843
2021,30-34,23472,634184,657656
2021,35-39,32213,549599,581812
2021,40-44,40503,448075,488578
2021,45-49,48832,396756,445588
2021,50-54,60616,413507,474123
2021,55-59,76752,445764,522516
2021,60-64,81584,443764,525348
2021,65-69,83658,424919,508577
2021,70-74,75866,375854,451720
2021,75-79,60792,302064,362856
2021,80-84,44379,234588,278967
2021,85+,42521,255473,297994
